city,datetime,pm25_value
Islamabad,2025-10-05 09:00:00+00:00,23.96262499756283
Faisalabad,2025-10-05 09:00:00+00:00,16.44862498442332
Karachi,2025-10-05 09:00:00+00:00,18.86688540379206
Karachi,2025-10-05 09:00:00+00:00,18.86688540379206
Lahore,2025-10-05 09:00:00+00:00,14.865958348910016
Rawalpindi,2025-10-05 09:00:00+00:00,28.71279158327314
Lahore,2025-10-05 09:00:00+00:00,14.865958348910016
Multan,2025-10-05 09:00:00+00:00,30.77737494309743
Lahore,2025-10-05 10:00:00+00:00,13.768041667143503
Rawalpindi,2025-10-05 10:00:00+00:00,21.256333351135257
Islamabad,2025-10-05 10:00:00+00:00,27.06963888450905
Rawalpindi,2025-10-05 10:00:00+00:00,21.256333351135257
Multan,2025-10-05 10:00:00+00:00,31.20999987125397
Islamabad,2025-10-05 10:00:00+00:00,27.06963888450905
Lahore,2025-10-05 10:00:00+00:00,13.768041667143503
Faisalabad,2025-10-05 10:00:00+00:00,18.16570834318797
Karachi,2025-10-05 10:00:00+00:00,17.45401386949751
Karachi,2025-10-05 10:00:00+00:00,17.45401386949751
Faisalabad,2025-10-05 10:00:00+00:00,18.16570834318797
Multan,2025-10-05 10:00:00+00:00,31.20999987125397
Multan,2025-10-05 11:00:00+00:00,43.66037493546804
Islamabad,2025-10-05 11:00:00+00:00,27.7349444354022
Faisalabad,2025-10-05 11:00:00+00:00,20.972500006357823
Karachi,2025-10-05 11:00:00+00:00,18.47126044366095
Multan,2025-10-05 11:00:00+00:00,43.66037493546804
Lahore,2025-10-05 11:00:00+00:00,14.476687502331202
Islamabad,2025-10-05 11:00:00+00:00,27.7349444354022
Rawalpindi,2025-10-05 11:00:00+00:00,23.285930556721155
Rawalpindi,2025-10-05 11:00:00+00:00,23.285930556721155
Faisalabad,2025-10-05 11:00:00+00:00,20.972500006357823
Karachi,2025-10-05 11:00:00+00:00,18.47126044366095
Lahore,2025-10-05 11:00:00+00:00,14.476687502331202
Islamabad,2025-10-05 12:00:00+00:00,29.602263866530524
Multan,2025-10-05 12:00:00+00:00,34.25745842456818
Multan,2025-10-05 12:00:00+00:00,34.25745842456818
Rawalpindi,2025-10-05 12:00:00+00:00,32.07029141585032
Karachi,2025-10-05 12:00:00+00:00,21.2552986184756
Faisalabad,2025-10-05 12:00:00+00:00,26.91904167334239
Rawalpindi,2025-10-05 12:00:00+00:00,32.07029141585032
Karachi,2025-10-05 12:00:00+00:00,21.2552986184756
Faisalabad,2025-10-05 12:00:00+00:00,26.91904167334239
Islamabad,2025-10-05 12:00:00+00:00,29.602263866530524
Lahore,2025-10-05 12:00:00+00:00,22.17174996932348
Lahore,2025-10-05 12:00:00+00:00,22.17174996932348
Quetta,2025-10-05 13:00:00+00:00,60.29962520599365
Karachi,2025-10-05 13:00:00+00:00,25.048875021934503
Islamabad,2025-10-05 13:00:00+00:00,27.683749985694885
Lahore,2025-10-05 13:00:00+00:00,33.78696536170112
Faisalabad,2025-10-05 13:00:00+00:00,33.493249829610185
Multan,2025-10-05 13:00:00+00:00,55.00141665140787
Multan,2025-10-05 13:00:00+00:00,55.00141665140787
Rawalpindi,2025-10-05 13:00:00+00:00,40.85508321126302
Rawalpindi,2025-10-05 13:00:00+00:00,40.85508321126302
Faisalabad,2025-10-05 13:00:00+00:00,33.493249829610185
Karachi,2025-10-05 13:00:00+00:00,25.048875021934503
Quetta,2025-10-05 13:00:00+00:00,60.29962520599365
Lahore,2025-10-05 13:00:00+00:00,33.78696536170112
Islamabad,2025-10-05 13:00:00+00:00,27.683749985694885
Lahore,2025-10-05 14:00:00+00:00,39.90892511749267
Karachi,2025-10-05 14:00:00+00:00,24.18084373474121
Karachi,2025-10-05 14:00:00+00:00,24.18084373474121
Quetta,2025-10-05 14:00:00+00:00,75.9423749923706
Islamabad,2025-10-05 14:00:00+00:00,28.513583310445156
Lahore,2025-10-05 14:00:00+00:00,39.90892511749267
Quetta,2025-10-05 14:00:00+00:00,75.9423749923706
Multan,2025-10-05 14:00:00+00:00,47.914402710066895
Rawalpindi,2025-10-05 14:00:00+00:00,37.6482638253106
Rawalpindi,2025-10-05 14:00:00+00:00,37.6482638253106
Islamabad,2025-10-05 14:00:00+00:00,28.513583310445156
Multan,2025-10-05 14:00:00+00:00,47.914402710066895
Faisalabad,2025-10-05 14:00:00+00:00,64.21337528228759
Faisalabad,2025-10-05 14:00:00+00:00,64.21337528228759
Quetta,2025-10-05 15:00:00+00:00,100.50149993896484
Karachi,2025-10-05 15:00:00+00:00,21.184416671593983
Multan,2025-10-05 15:00:00+00:00,36.094499810536696
